year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2000,1,8,Pasrah,Yusof Haslam,"Erra Fazira, Norman Hakim, Wilma Muhammad, Abby Abadi, Mazlan Senario, AC Mizal, Khairil Anwar, Rosnah Johari, Latiff Ibrahim, Kartina Aziz, A. Galak, Radhi Khalid, Farid Amirul, Sharifah Shahora",Drama / Romance,,,
2000,4,6,Mimpi Moon,Shuhaimi Baba,"Rashidi Ishak, Kavita Sidhu, Jalaluddin Hassan, Ning Baizura, Afdlin Shauki, Asha Gill, Anuar Kamaruddin, Shamsul Cairel, Iskandar Najmudin, Erna Elliyana, Mohd Haikaldin, Ida Nerina, Sarimah Ibrahim, Jit Murad, Melissa Saila, Saiful Apek, Naa Murad, Joanna Bessey, Kamal Kadir, Adriani Wahjanto, Kher Cheng Guan, Ross Hadi",Comedy / Romance,,,
2000,5,25,Senario Lagi,Aziz M. Osman,"Azlee Jaafar, Mazlan Ahmad, Wahid Mohamad, Saiful Apek, Yassin Yahaya, Syanie Hisham, Umie Aida, Al-Fariz Ismail, Siti Nora 'Bobbi', Ahmad Idham, Amy Mastura, Azhar Sulaiman, Aziz M. Osman, Effa Ismail, Jalaluddin Hassan, Lydiawati, Mustapha Kamal, Nina Juren, Nor Aliah Lee, Pansha, Zulkifli Zain, Said Prono, Abd Rahman Abdullah, Zaidi Rock, Khairul Rizal Ramli",Adventure / Comedy,,,
2000,6,29,Anaknya Sazali,,"Ahmad Idham, M. Rajoli, Azean Irdawaty, Noraini Morat, Jasmin Hamid, Badrul Muhayat, Hafiz Asyaraf, Ahmad B, Bibi Yem, Kartina Aziz, Ismail Din, Jalaluddin Hassan, Natasha Nasir, Rosnah Johari, Fadilah Mansor, Normala Omar, Fadhil Dani, Rashidah Jaafar, Lan Zailan, Sheila Mambo, Nisdawati Nazaruddin, Dilla Ahmad",Comedy / Family,,,
2000,8,31,Leftenan Adnan,Aziz M. Osman,"Hairie Othman, Umie Aida, Farid Amirul, Faizal Hussein, Rusdi Ramli, Shaharuddin Thamby, Wahid Senario, M. Osman, Sherie Merlis, Rambo Chin, TS Jeffry, Johan Abdullah, Zul Yahya, Omar Nasrulhaq, Mohd Sany Royan, Mohd Razak Omar, Suhaimi Sulong, Ghazali Ismail, M. Zaidi Mohd Zain, M. Zam Azhari Zainudin, M. Khalid Ismail, Wan Shakri Wan Ee, Kamaruzaman Ariffin",Action / Historical,,[5],
2000,9,28,Soal Hati,Othman Hafsham,"Erra Fazira, Afdlin Shauki, Zaibo, Piee, Khatijah Tan, Chef Wan, Shamsul Ghau Ghau, Sathiya, Khairul Azhar, Ali Mamak, Sharmaine Arnaiz, Noor Azizah, Rubiah Suparman, Othman Hafsham, Anuar Zain, Linda Onn, Najihah Azlisham, Osman Kering, Albert Yeo Hock Gim, Azrol Nizam Razlan, Carmen Thien, Emillia Azyyati Abd Rahman, George Teoh, Harlym Yeo Hock Lim, Hashim Othman, Kanjana Dewi, Mohd Yusuf Ahmad, Mohd Ridzuan Mohd Anuar, Shaleen Cheah Beow Lin, Vicky Wong Meow Yin, Yoga, Zulkifly Jaya, Ismail Saman",Comedy / Romance,,,
2000,12,27,Syukur 21,Eddie Pak,"Nazrey Raihan, Che Amran Raihan, Abu Bakar Raihan, Zairi Raihan, Yassin Brothers, Norzizi Zulkifli, Eisya, Mustapha Kamal, Man Bai, Umi Kalthum, Mahyon Ismail, Yang Kassim, Ellie Suriaty, Mazlan Ahmad, Dharma Harun, Rohimi Sobeng, Ismadi Wakiri, Rika Yulianty",Drama / Science fiction,,,
2001,3,1,Gerak Khas The Movie,Yusof Haslam,"AC Mizal, Abby Abadi, Erra Fazira, Normala Samsudin, Rosyam Nor, Norman Hakim, Nasha Aziz, Mazlan Pet Pet, Yusof Haslam, Shaharon Anuar, A. Galak, Farid Amirul, Din Maidin, Zul Yahya",Action / Crime,,,
2001,5,24,Seri Dewi Malam,Aziz M. Osman,"Hairie Othman, Jeslina Hashim, Maya Karin, Khatijah Tan, Rashidi Ishak, Danny X-Factor, Ahmad Tarmimi Serigar, Hamidah Wahab, Redzuan Hashim, Arash, Nurul Jasmin Deo, Sharifah Shahora, M. Osman, Shukery Hashim, Aziz M. Osman, Rosli Mahmod",Mystery / Romance,,,
2001,6,28,Sara,Along Kamaruddin,"Ida Nerina, Shamsul Ghau Ghau, Zahim Albakri, Hisham Ahmad Tajudin, Zami Ismail, Piee, Soosan Ho, Eja, Loloq, Ropi (Cecupak)",Comedy / Romance,,,
