,names,links,product_ids,images,lowPrice,highPrice,price,bestRating,worstRating,ratingCount,ratingValue
0,ZANZEA Women Casual Long Sleeve Loose Split Hem Plus Size Blouse,https://shopee.com.my/ZANZEA-Women-Casual-Long-Sleeve-Loose-Split-Hem-Plus-Size-Blouse-i.26973388.3525184629,3525184629,https://cf.shopee.com.my/file/975f848a8361d08bbfd4f25a5c09e40d,,,30.00,5.0,1.0,4004,4.90
1,ZANZEA Women Long Sleeve Solid Color Muslim Vintage Maxi Dress,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Solid-Color-Muslim-Vintage-Maxi-Dress-i.26973388.7741465421,7741465421,https://cf.shopee.com.my/file/9b3d098e41fe02d7e9934f42452f6fcd,28.99,35.00,,5.0,1.0,1826,4.93
2,ZANZEA Women's Cotton Casual Boho Loose Party Mini Dress,https://shopee.com.my/ZANZEA-Women's-Cotton-Casual-Boho-Loose-Party-Mini-Dress-i.26973388.752076145,752076145,https://cf.shopee.com.my/file/7766eed06e8bbc7709ff238da96a3d9f,,,34.50,5.0,1.0,5209,4.90
3,ZANZEA Women's V Neck Buttons Plus Size Long Sleeve Mni Dress,https://shopee.com.my/ZANZEA-Women's-V-Neck-Buttons-Plus-Size-Long-Sleeve-Mni-Dress-i.26973388.1242385421,1242385421,https://cf.shopee.com.my/file/bf38272e469f08ecc2483ba1c0ac9b82,,,34.00,5.0,1.0,4070,4.95
4,ZANZEA Women Lantern Sleeve Buttons Muslim Casual Loose Maxi Dress,https://shopee.com.my/ZANZEA-Women-Lantern-Sleeve-Buttons-Muslim-Casual-Loose-Maxi-Dress-i.26973388.4837542611,4837542611,https://cf.shopee.com.my/file/1e0a40c92a163a98f4487e3a55356b2a,,,39.50,5.0,1.0,2134,4.90
5,ZANZEA Women Long Sleeve Button Down Loose Flounce Hem Maxi Dresses,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Button-Down-Loose-Flounce-Hem-Maxi-Dresses-i.26973388.7133973532,7133973532,https://cf.shopee.com.my/file/457c1926a3c2d7d755ca2eca21091ce1,,,37.00,5.0,1.0,2312,4.95
6,ZANZEA Women Sleeve V-Neck Vintage Casual Baggy Maxi Dresses,https://shopee.com.my/ZANZEA-Women-Sleeve-V-Neck-Vintage-Casual-Baggy-Maxi-Dresses-i.26973388.2914528521,2914528521,https://cf.shopee.com.my/file/7382bc09d5fc2dc396e2e4d50b47986b,,,40.50,5.0,1.0,2331,4.93
7,ZANZEA Women Loose Grid Printed Batwing Sleeve Plus Size Blouse,https://shopee.com.my/ZANZEA-Women-Loose-Grid-Printed-Batwing-Sleeve-Plus-Size-Blouse-i.26973388.6530000325,6530000325,https://cf.shopee.com.my/file/0e22a3471c2c523640ecc32b9990b2e0,,,29.00,5.0,1.0,1742,4.92
8,ZANZEA Women Loose Solid Color Puff Sleeve Swing Long Dress,https://shopee.com.my/ZANZEA-Women-Loose-Solid-Color-Puff-Sleeve-Swing-Long-Dress-i.26973388.5940154062,5940154062,https://cf.shopee.com.my/file/4a5e5fed032a2dcaa82011c7d3800ab4,,,36.50,5.0,1.0,971,4.91
9,ZANZEA Women's Plus Size 3/4 Sleeve Loose Cotton Long Dress,https://shopee.com.my/ZANZEA-Women's-Plus-Size-3-4-Sleeve-Loose-Cotton-Long-Dress-i.26973388.1605237297,1605237297,https://cf.shopee.com.my/file/e016b0b12b7ab5bd9e944600c38a1b61,,,32.00,5.0,1.0,4650,4.92
